"Class","Subclass","Variable"
"Prenol Lipids"," Isoprenoids","Valerenane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Africanane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Lippifoliane and himachalane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Longipinane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Longifolane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Longibornane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Pinguisane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Thapsane and fukinane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Picrotoxane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Daucane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Isodaucane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Perforane and pacifigorgiane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Asteriscane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Illudane and protoilludane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Sterpurane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Illudalane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Isolactarane, merulane, lactarane and marasmane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Furodysin and furodysinin sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Botrydial sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Spirovetivane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Acorane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Chamigrane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Spirosesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Cedrane and isocedrane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Zizaane and prezizaane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Clovane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Precapnellane and capnellane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Hirsutane and rearranged hisutane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Pentalenane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Silphinane, silphiperfoliane and presilphiperfoliane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Isocomane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Panasinsane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Modhephane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Quadrane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Campherenane and santalane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Sativane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Copacamphane and sinularane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Copaane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Ishwarane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Rotundane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Thujopsane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Bourbonane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Gymnomitrane sesquiterpenoids"
"Prenol Lipids"," Isoprenoids","Other sesquiterpenoids"
"Prenol Lipids"," Isoprenoids"," C20 isoprenoids (diterpenes)"
"Prenol Lipids"," Isoprenoids","Acyclic diterpenoids"
"Prenol Lipids"," Isoprenoids","Prenylbisabolane and cyclophytane diterpenoids"
"Prenol Lipids"," Isoprenoids","Labdane and halimane diterpenoids"
"Prenol Lipids"," Isoprenoids","Colensane and clerodane diterpenoids"
"Prenol Lipids"," Isoprenoids","Abietane diterpenoids"
"Prenol Lipids"," Isoprenoids","Cycloaibetiane and Abeoabietaine diterpenoids"
"Prenol Lipids"," Isoprenoids","Totarane and nagilactone diterpenoids"
"Prenol Lipids"," Isoprenoids","Pimarane diterpenoids"
"Prenol Lipids"," Isoprenoids","Cassane and vouacapane diterpenoids"
"Prenol Lipids"," Isoprenoids","Cleistanthane and isocleistanthane diterpenoids"
"Prenol Lipids"," Isoprenoids","Isocopalane and spongiane diterpenoids"
"Prenol Lipids"," Isoprenoids","Podocarpane diterpenoids"
"Prenol Lipids"," Isoprenoids","Kaurane and phyllocladane diterpenoids"
"Prenol Lipids"," Isoprenoids","Beyerane diterpenoids"
"Prenol Lipids"," Isoprenoids","Villanovane, atisane, trachylobane and helvifulvane diterpenoids"
"Prenol Lipids"," Isoprenoids","Aphidicolane diterpenoids"
"Prenol Lipids"," Isoprenoids","Gibberellins"
"Prenol Lipids"," Isoprenoids","Leucothol and grayanotoxane diterpenoids"
"Prenol Lipids"," Isoprenoids","Cembrane diterpenoids"
"Prenol Lipids"," Isoprenoids","Rearranged cembrane diterpenoids"
"Prenol Lipids"," Isoprenoids","Eunicellane and asbestinane diterpenoids"
"Prenol Lipids"," Isoprenoids","Sphaerane diterpenoids"
"Prenol Lipids"," Isoprenoids","Briarane diterpenoids"
"Prenol Lipids"," Isoprenoids","Dolabellane and modified dolabellane diterpenoids"
"Prenol Lipids"," Isoprenoids","Dolastane and modified dolastane diterpenoids"
"Prenol Lipids"," Isoprenoids","Cyathane diterpenoids"
"Prenol Lipids"," Isoprenoids","Sphaeroane diterpenoids"
"Prenol Lipids"," Isoprenoids","Verrucosane and modified verrucosane diterpenoids"
"Prenol Lipids"," Isoprenoids","Casbane diterpenoids"
"Prenol Lipids"," Isoprenoids","Jatrophane and cyclojatrophane diterpenoids"
"Prenol Lipids"," Isoprenoids","Lathyrane diterpenoids"
"Prenol Lipids"," Isoprenoids","Rhamnofolane and daphnane diterpenoids"
"Prenol Lipids"," Isoprenoids","Tigliane and ingenane diterpenoids"
"Prenol Lipids"," Isoprenoids","Jatropholane and secojatropholane diterpenoids"
"Prenol Lipids"," Isoprenoids","Fusicoccane diterpenoids"
"Prenol Lipids"," Isoprenoids","Valparane and mulinane diterpenoids"
"Prenol Lipids"," Isoprenoids","Spatane diterpenoids"
"Prenol Lipids"," Isoprenoids","Verticillane diterpenoids"
"Prenol Lipids"," Isoprenoids","Taxane and Abeotaxane diterpenoids"
"Prenol Lipids"," Isoprenoids","Trinervitane and kempane diterpenoids"
"Prenol Lipids"," Isoprenoids","Amphilectane, cycloamphilectane, adociane and neoamphilectane diterpenoids"
"Prenol Lipids"," Isoprenoids","Xenicane and xeniaphyllane diterpenoids"
"Prenol Lipids"," Isoprenoids","Viscidane diterpenoids"
"Prenol Lipids"," Isoprenoids","Eremane diterpenoids"
"Prenol Lipids"," Isoprenoids","Prenyleudesmane, prenylgermacrane and prenylbicyclogermacrane diterpenoids"
"Prenol Lipids"," Isoprenoids","Lobane diterpenoids"
"Prenol Lipids"," Isoprenoids","Pachydictyane and cneorubin diterpenoids"
"Prenol Lipids"," Isoprenoids","Serrulatane and biflorane diterpenoids"
"Prenol Lipids"," Isoprenoids","Decipiane diterpenoids"
"Prenol Lipids"," Isoprenoids","Sacculatane diterpenoids"
"Prenol Lipids"," Isoprenoids","Obtusane diterpenoids"
"Prenol Lipids"," Isoprenoids","Irieol diterpenoids"
"Prenol Lipids"," Isoprenoids","Sphenolobane diterpenoids"
"Prenol Lipids"," Isoprenoids","Ginkgolides and Bilobalides"
"Prenol Lipids"," Isoprenoids","Other diterpenoids"
"Prenol Lipids"," Isoprenoids"," C25 isoprenoids (sesterterpenes)"
"Prenol Lipids"," Isoprenoids","Acyclic sesterterpenoids"
"Prenol Lipids"," Isoprenoids","Cyclohexane sesterterpenoids"
"Prenol Lipids"," Isoprenoids","Cericerane sesterterpenoids"
"Prenol Lipids"," Isoprenoids","Bicyclic sesterterpenoids"
"Prenol Lipids"," Isoprenoids","Cheilanthane and ophiobolane sesterterpenoids"
"Prenol Lipids"," Isoprenoids","Scalarane sesterterpenoids"
"Prenol Lipids"," Isoprenoids","Other sesterterpenoids"
"Prenol Lipids"," Isoprenoids"," C30 isoprenoids (triterpenes)"
"Prenol Lipids"," Isoprenoids","Acyclic triterpenoids"
"Prenol Lipids"," Isoprenoids","Cyclohexane triterpenoids"
"Prenol Lipids"," Isoprenoids","Botryococcene triterpenoids"
"Prenol Lipids"," Isoprenoids","Prostostane and fusidane triterpenoids"
"Prenol Lipids"," Isoprenoids","Lanostane triterpenoids"
"Prenol Lipids"," Isoprenoids","Cycloartane triterpenoids"
"Prenol Lipids"," Isoprenoids","Cucurbitane triterpenoids"
"Prenol Lipids"," Isoprenoids","Dammarane triterpenoids"
"Prenol Lipids"," Isoprenoids","Tirucallane/euphane triterpenoids"
"Prenol Lipids"," Isoprenoids","Apotirucallane triterpenoids"
"Prenol Lipids"," Isoprenoids","Nortriterpenoids"
"Prenol Lipids"," Isoprenoids","Quassinoid nortriterpenoids"
"Prenol Lipids"," Isoprenoids","Baccharane triterpenoids"
"Prenol Lipids"," Isoprenoids","Lupane triterpenoids"
"Prenol Lipids"," Isoprenoids","Oleanane triterpenoids"
"Prenol Lipids"," Isoprenoids","Taraxerane, multiflorane, glutinane and friedelane triterpenoids"
"Prenol Lipids"," Isoprenoids","Pachysanane triterpenoids"
"Prenol Lipids"," Isoprenoids","Taraxastane, ursane and bauerane triterpenoids"
"Prenol Lipids"," Isoprenoids","Hopane triterpenoids"
"Prenol Lipids"," Isoprenoids","Neohopane, fernane, adianane and filicane triterpenoids"
"Prenol Lipids"," Isoprenoids","Arborinane and stictane triterpenoids"
"Prenol Lipids"," Isoprenoids","Gammacerane triterpenoids"
"Prenol Lipids"," Isoprenoids","Serratane and onocerane triterpenoids"
"Prenol Lipids"," Isoprenoids","Polypodane, malabaricane and podiodane triterpenoids"
"Prenol Lipids"," Isoprenoids","Other triterpenoids"
"Prenol Lipids"," Isoprenoids","C40 isoprenoids (tetraterpenes)"
"Prenol Lipids"," Isoprenoids","Polyterpenes"
"Prenol Lipids"," Isoprenoids","Retinoids"
"Prenol Lipids"," Quinones and hydroquinones","Ubiquinones"
"Prenol Lipids"," Quinones and hydroquinones","Vitamin E"
"Prenol Lipids"," Quinones and hydroquinones","Vitamin K"
"Prenol Lipids"," Polyprenols","Bactoprenols"
"Prenol Lipids"," Polyprenols","Bactoprenol monophosphates"
"Prenol Lipids"," Polyprenols","Bactoprenol diphosphates"
"Prenol Lipids"," Polyprenols","Phytoprenols"
"Prenol Lipids"," Polyprenols","Phytoprenol monophosphates"
"Prenol Lipids"," Polyprenols","Phytoprenol diphosphates"
"Prenol Lipids"," Polyprenols","Dolichols"
"Prenol Lipids"," Polyprenols","Dolichol monophosphates"
"Prenol Lipids"," Polyprenols","Dolichol diphosphates"
"Saccharolipids"," Acylaminosugars","Monoacylaminosugars"
"Saccharolipids"," Acylaminosugars","Diacylaminosugars"
"Saccharolipids"," Acylaminosugars","Triacylaminosugars"
"Saccharolipids"," Acylaminosugars","Tetraacylaminosugars"
"Saccharolipids"," Acylaminosugars","Pentaacylaminosugars"
"Saccharolipids"," Acylaminosugars","Hexaacylaminosugars"
"Saccharolipids"," Acylaminosugars","Heptaacylaminosugars"
"Polyketides"," Flavonoids","Anthocyanidins"
"Polyketides"," Flavonoids","Flavans, Flavanols and Leucoanthocyanidins"
"Polyketides"," Flavonoids","Proanthocyanidins"
"Polyketides"," Flavonoids","Biflavonoids and polyflavonoids"
"Polyketides"," Flavonoids","Isoflavonoids"
"Polyketides"," Flavonoids","Rotenoid flavonoids"
"Polyketides"," Flavonoids","Pterocarpans"
"Polyketides"," Flavonoids","Isoflavans"
"Polyketides"," Flavonoids","Coumestan flavonoids"
"Polyketides"," Flavonoids","Neoflavonoids"
"Polyketides"," Flavonoids","Flavones and Flavonols"
"Polyketides"," Flavonoids","Chalcones and dihydrochalcones"
"Polyketides"," Flavonoids","Aurone flavonoids"
"Polyketides"," Flavonoids","Flavanones"
"Polyketides"," Flavonoids","Dihydroflavonols"
"Polyketides"," Flavonoids","Other Flavonoids"
"Polyketides"," Aromatic polyketides","Monocyclic aromatic polyketides"
"Polyketides"," Aromatic polyketides","Naphthalenes and naphthoquinones"
"Polyketides"," Aromatic polyketides","Benzoisochromanquinones"
"Polyketides"," Aromatic polyketides","Anthracenes and phenanthrenes"
"Polyketides"," Aromatic polyketides","Anthracyclinones"
"Polyketides"," Aromatic polyketides","Dibenzofurans, griseofulvins, dibenzopyrans and xanthones"
"Polyketides"," Aromatic polyketides","Diphenylmethanes, acylphloroglucinols and benzophenones"
"Polyketides"," Aromatic polyketides","Depsides and depsidones"
"Polyketides"," Aromatic polyketides","Diphenyl ethers, biphenyls, dibenzyls and stilbenes"
"Polyketides"," Aromatic polyketides","Benzofuranoids"
"Polyketides"," Aromatic polyketides","Benzopyranoids"
"Polyketides"," Aromatic polyketides","Other aromatic polyketides"
"Polyketides"," Phenolic lipids","Alkyl phenols and derivatives"
"Polyketides"," Phenolic lipids","Alkyl catechols and derivatives"
"Polyketides"," Phenolic lipids","Alkyl resorcinols and derivatives"
"Polyketides"," Phenolic lipids","Anacardic acids and derivatives"
"Polyketides"," Phenolic lipids","Alkyl hydroquinones and derivatives"
